,index.html,result.json,state100.html,state102.html,state104.html,state106.html,state108.html,state11.html,state110.html,state112.html,state114.html,state12.html,state13.html,state16.html,state17.html,state19.html,state20.html,state22.html,state23.html,state25.html,state27.html,state29.html,state30.html,state32.html,state34.html,state36.html,state38.html,state39.html,state41.html,state43.html,state45.html,state47.html,state48.html,state5.html,state50.html,state52.html,state54.html,state56.html,state57.html,state59.html,state6.html,state61.html,state63.html,state65.html,state67.html,state68.html,state7.html,state70.html,state72.html,state74.html,state76.html,state78.html,state79.html,state81.html,state83.html,state85.html,state87.html,state88.html,state9.html,state90.html,state92.html,state94.html,state96.html,state98.html
index.html,1.00,0.04,0.67,0.70,0.69,0.67,0.70,0.68,0.70,0.67,0.70,0.80,0.66,0.80,0.66,0.68,0.67,0.73,0.66,0.68,0.67,0.80,0.66,0.68,0.67,0.70,0.80,0.66,0.68,0.67,0.70,0.71,0.66,0.86,0.68,0.67,0.70,0.80,0.66,0.68,0.67,0.67,0.70,0.67,0.80,0.66,0.64,0.68,0.67,0.70,0.70,0.80,0.66,0.68,0.67,0.69,0.73,0.66,0.87,0.68,0.67,0.70,0.67,0.68
result.json,0.04,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.05,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.05,0.07,0.07,0.07,0.07,0.07
state100.html,0.67,0.07,1.00,0.84,0.82,0.99,0.83,0.64,0.84,0.99,0.84,0.70,0.85,0.70,0.85,0.99,0.99,0.68,0.85,0.99,0.99,0.70,0.85,0.99,0.99,0.84,0.70,0.85,0.99,0.99,0.84,0.67,0.85,0.75,0.99,0.99,0.84,0.70,0.85,0.99,0.86,0.99,0.84,0.99,0.70,0.85,0.83,0.99,0.99,0.84,0.84,0.70,0.85,0.99,1.00,0.82,0.68,0.85,0.69,0.99,0.99,0.84,0.99,0.99
state102.html,0.70,0.07,0.84,1.00,0.98,0.84,0.99,0.68,0.99,0.84,0.99,0.75,0.78,0.75,0.78,0.84,0.83,0.74,0.78,0.84,0.84,0.75,0.78,0.84,0.84,0.99,0.75,0.78,0.84,0.84,0.99,0.72,0.78,0.79,0.84,0.84,0.99,0.75,0.78,0.84,0.79,0.84,0.99,0.84,0.75,0.78,0.76,0.84,0.84,0.99,0.99,0.75,0.78,0.84,0.84,0.98,0.73,0.78,0.74,0.84,0.84,0.99,0.84,0.84
state104.html,0.69,0.07,0.82,0.98,1.00,0.82,0.98,0.69,0.98,0.83,0.98,0.75,0.77,0.75,0.77,0.83,0.82,0.74,0.77,0.83,0.83,0.75,0.77,0.83,0.82,0.98,0.75,0.77,0.83,0.82,0.98,0.74,0.77,0.78,0.83,0.83,0.98,0.75,0.77,0.83,0.78,0.83,0.98,0.83,0.75,0.77,0.75,0.83,0.83,0.98,0.98,0.75,0.77,0.83,0.82,1.00,0.74,0.77,0.74,0.83,0.82,0.98,0.82,0.83
state106.html,0.67,0.07,0.99,0.84,0.82,1.00,0.84,0.64,0.84,0.99,0.84,0.70,0.85,0.70,0.85,0.99,0.98,0.68,0.85,0.99,0.99,0.70,0.85,0.99,0.99,0.84,0.70,0.85,0.99,1.00,0.84,0.67,0.85,0.75,0.99,0.99,0.84,0.70,0.85,0.99,0.86,0.99,0.84,1.00,0.70,0.85,0.83,0.99,0.99,0.84,0.84,0.70,0.85,0.99,0.99,0.82,0.68,0.85,0.69,0.99,1.00,0.84,0.99,0.99
state108.html,0.70,0.07,0.83,0.99,0.98,0.84,1.00,0.68,0.99,0.84,0.99,0.75,0.78,0.75,0.78,0.84,0.83,0.73,0.78,0.84,0.84,0.75,0.78,0.84,0.84,0.99,0.75,0.78,0.84,0.84,0.99,0.72,0.78,0.79,0.84,0.84,0.99,0.75,0.78,0.84,0.78,0.84,0.99,0.84,0.75,0.78,0.76,0.84,0.84,0.99,0.99,0.75,0.78,0.84,0.84,0.98,0.73,0.78,0.74,0.84,0.83,0.99,0.84,0.84
state11.html,0.68,0.07,0.64,0.68,0.69,0.64,0.68,1.00,0.68,0.64,0.68,0.76,0.64,0.75,0.64,0.65,0.64,0.75,0.64,0.65,0.64,0.75,0.64,0.65,0.64,0.68,0.75,0.65,0.65,0.64,0.68,0.75,0.64,0.69,0.65,0.64,0.68,0.75,0.64,0.65,0.64,0.64,0.68,0.64,0.76,0.64,0.64,0.65,0.64,0.68,0.68,0.75,0.64,0.65,0.64,0.69,0.75,0.64,0.77,0.65,0.64,0.68,0.64,0.65
state110.html,0.70,0.07,0.84,0.99,0.98,0.84,0.99,0.68,1.00,0.84,1.00,0.75,0.78,0.75,0.78,0.84,0.83,0.73,0.78,0.84,0.84,0.75,0.78,0.84,0.84,0.99,0.75,0.78,0.84,0.84,0.99,0.72,0.78,0.79,0.84,0.84,0.99,0.75,0.78,0.84,0.79,0.84,0.99,0.84,0.75,0.78,0.76,0.84,0.84,0.99,0.99,0.75,0.78,0.84,0.84,0.98,0.73,0.78,0.74,0.84,0.84,0.99,0.84,0.84
state112.html,0.67,0.07,0.99,0.84,0.83,0.99,0.84,0.64,0.84,1.00,0.84,0.70,0.85,0.70,0.85,0.99,0.98,0.68,0.85,0.99,1.00,0.70,0.85,0.99,0.99,0.84,0.70,0.85,0.99,0.99,0.84,0.67,0.85,0.75,0.99,0.99,0.84,0.70,0.85,0.99,0.86,0.99,0.84,0.99,0.70,0.85,0.83,0.99,1.00,0.84,0.84,0.70,0.85,0.99,0.99,0.82,0.68,0.85,0.69,0.99,0.99,0.84,1.00,0.99
state114.html,0.70,0.07,0.84,0.99,0.98,0.84,0.99,0.68,1.00,0.84,1.00,0.75,0.78,0.75,0.78,0.84,0.83,0.73,0.78,0.84,0.84,0.75,0.78,0.84,0.84,0.99,0.75,0.78,0.84,0.84,0.99,0.72,0.78,0.79,0.84,0.84,0.99,0.75,0.78,0.84,0.79,0.84,0.99,0.84,0.75,0.78,0.76,0.84,0.84,0.99,0.99,0.75,0.78,0.84,0.84,0.98,0.73,0.78,0.74,0.84,0.84,0.99,0.84,0.84
state12.html,0.80,0.06,0.70,0.75,0.75,0.70,0.75,0.76,0.75,0.70,0.75,1.00,0.69,0.98,0.69,0.70,0.69,0.91,0.69,0.70,0.70,0.98,0.69,0.70,0.70,0.75,0.98,0.69,0.70,0.70,0.75,0.88,0.69,0.80,0.70,0.70,0.75,0.98,0.69,0.70,0.70,0.70,0.75,0.70,0.98,0.69,0.68,0.70,0.70,0.75,0.75,0.98,0.69,0.70,0.70,0.75,0.91,0.69,0.84,0.70,0.70,0.75,0.70,0.70
state13.html,0.66,0.07,0.85,0.78,0.77,0.85,0.78,0.64,0.78,0.85,0.78,0.69,1.00,0.69,0.99,0.85,0.85,0.68,0.99,0.85,0.85,0.69,0.99,0.85,0.85,0.78,0.69,0.99,0.85,0.85,0.78,0.67,0.99,0.75,0.85,0.85,0.78,0.69,0.99,0.85,0.99,0.85,0.78,0.85,0.69,0.99,0.96,0.85,0.85,0.78,0.78,0.69,0.99,0.85,0.85,0.77,0.68,0.99,0.69,0.85,0.85,0.78,0.85,0.85
