,index.html,state100.html,state102.html,state104.html,state106.html,state108.html,state11.html,state110.html,state112.html,state114.html,state12.html,state13.html,state16.html,state17.html,state19.html,state20.html,state22.html,state23.html,state25.html,state27.html,state29.html,state30.html,state32.html,state34.html,state36.html,state38.html,state39.html,state41.html,state43.html,state45.html,state47.html,state48.html,state5.html,state50.html,state52.html,state54.html,state56.html,state57.html,state59.html,state6.html,state61.html,state63.html,state65.html,state67.html,state68.html,state7.html,state70.html,state72.html,state74.html,state76.html,state78.html,state79.html,state81.html,state83.html,state85.html,state87.html,state88.html,state9.html,state90.html,state92.html,state94.html,state96.html,state98.html
index.html,"0.0
","7.0
","12.0
","12.0
","7.0
","12.0
","10.0
","12.0
","7.0
","12.0
","15.0
","6.0
","15.0
","6.0
","7.0
","7.0
","15.0
","6.0
","7.0
","7.0
","15.0
","6.0
","7.0
","7.0
","12.0
","15.0
","6.0
","7.0
","7.0
","12.0
","15.0
","6.0
","7.0
","7.0
","7.0
","12.0
","15.0
","6.0
","7.0
","6.0
","7.0
","12.0
","7.0
","15.0
","6.0
","6.0
","7.0
","7.0
","12.0
","12.0
","15.0
","6.0
","7.0
","7.0
","12.0
","15.0
","6.0
","10.0
","7.0
","7.0
","12.0
","7.0
","7.0
"
state100.html,"7.0
","0.0
","7.0
","7.0
","0.0
","7.0
","8.0
","7.0
","0.0
","7.0
","13.0
","1.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","2.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","1.0
","0.0
","7.0
","0.0
","13.0
","1.0
","1.0
","0.0
","0.0
","7.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","8.0
","0.0
","0.0
","7.0
","0.0
","0.0
"
state102.html,"12.0
","7.0
","0.0
","1.0
","7.0
","0.0
","9.0
","0.0
","7.0
","0.0
","14.0
","6.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","6.0
","7.0
","0.0
","7.0
","14.0
","6.0
","6.0
","7.0
","7.0
","0.0
","0.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","9.0
","7.0
","7.0
","0.0
","7.0
","7.0
"
state104.html,"12.0
","7.0
","1.0
","0.0
","7.0
","1.0
","10.0
","1.0
","7.0
","1.0
","14.0
","6.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","7.0
","7.0
","7.0
","1.0
","14.0
","6.0
","7.0
","6.0
","7.0
","1.0
","7.0
","14.0
","6.0
","6.0
","7.0
","7.0
","1.0
","1.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","10.0
","7.0
","7.0
","1.0
","7.0
","7.0
"
state106.html,"7.0
","0.0
","7.0
","7.0
","0.0
","7.0
","8.0
","7.0
","0.0
","7.0
","13.0
","1.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","2.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","1.0
","0.0
","7.0
","0.0
","13.0
","1.0
","1.0
","0.0
","0.0
","7.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","8.0
","0.0
","0.0
","7.0
","0.0
","0.0
"
state108.html,"12.0
","7.0
","0.0
","1.0
","7.0
","0.0
","9.0
","0.0
","7.0
","0.0
","14.0
","6.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","6.0
","7.0
","0.0
","7.0
","14.0
","6.0
","6.0
","7.0
","7.0
","0.0
","0.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","9.0
","7.0
","7.0
","0.0
","7.0
","7.0
"
state11.html,"10.0
","8.0
","9.0
","10.0
","8.0
","9.0
","0.0
","9.0
","8.0
","9.0
","6.0
","8.0
","6.0
","8.0
","8.0
","8.0
","6.0
","8.0
","8.0
","8.0
","6.0
","8.0
","8.0
","8.0
","9.0
","6.0
","8.0
","8.0
","8.0
","9.0
","6.0
","8.0
","9.0
","8.0
","8.0
","9.0
","6.0
","8.0
","8.0
","8.0
","8.0
","9.0
","8.0
","6.0
","8.0
","8.0
","8.0
","8.0
","9.0
","9.0
","6.0
","8.0
","8.0
","8.0
","10.0
","6.0
","8.0
","0.0
","8.0
","8.0
","9.0
","8.0
","8.0
"
state110.html,"12.0
","7.0
","0.0
","1.0
","7.0
","0.0
","9.0
","0.0
","7.0
","0.0
","14.0
","6.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","6.0
","7.0
","0.0
","7.0
","14.0
","6.0
","6.0
","7.0
","7.0
","0.0
","0.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","9.0
","7.0
","7.0
","0.0
","7.0
","7.0
"
state112.html,"7.0
","0.0
","7.0
","7.0
","0.0
","7.0
","8.0
","7.0
","0.0
","7.0
","13.0
","1.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","2.0
","0.0
","0.0
","7.0
","13.0
","1.0
","0.0
","1.0
","0.0
","7.0
","0.0
","13.0
","1.0
","1.0
","0.0
","0.0
","7.0
","7.0
","13.0
","1.0
","0.0
","0.0
","7.0
","13.0
","1.0
","8.0
","0.0
","0.0
","7.0
","0.0
","0.0
"
state114.html,"12.0
","7.0
","0.0
","1.0
","7.0
","0.0
","9.0
","0.0
","7.0
","0.0
","14.0
","6.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","7.0
","7.0
","0.0
","14.0
","6.0
","7.0
","6.0
","7.0
","0.0
","7.0
","14.0
","6.0
","6.0
","7.0
","7.0
","0.0
","0.0
","14.0
","6.0
","7.0
","7.0
","1.0
","14.0
","6.0
","9.0
","7.0
","7.0
","0.0
","7.0
","7.0
"
